,Unnamed: 0,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,full_kappa,learn_prediction,learn_ll,learn_alpha,learn_kappa,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,plan_kappa,learn_rho,plan_alpha
1535,1535,35,35,20,529,6,2,2,3,False,0,0,23,True,train,0.3004878579070515,0.33198575677143605,2.286267690539601,0.29560720729473916,1.990660483244862,-0.3573721267814376,5.0,0.8,0.9,0.10694884543021442,-0.11311141579357357,30.0,0.9,0.3769454,2.1900315301526967,0.24199752227363885,1.948034007879058,-0.4731211235854455,0.75,0.9,0.75,30.0
1536,1536,36,36,19,548,2,2,2,0,True,0,0,23,True,train,0.8279770300742412,0.32967371341083085,2.245826754595046,0.5631916347620056,1.6826351198330403,-0.18876986643790913,5.0,0.8,0.9,0.16889487088340072,-1.778478823400951,30.0,0.9,0.5404593652968038,2.386844117468904,0.5381932169235902,1.8486509005453138,-0.6153358245684207,0.75,0.9,0.75,30.0
1537,1537,37,37,22,570,2,2,2,0,True,0,0,23,True,train,0.7762962203930185,0.33835672234904796,2.1372230003536914,0.42334783738177645,1.713875162971915,-0.2532211043276614,5.0,0.8,0.9,0.17157840564721097,-1.7627149410636647,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.8557959856638674,0.75,0.9,0.75,30.0
1538,1538,38,38,17,587,3,7,2,1,False,0,0,23,True,train,0.5054930818754779,0.34582561632951764,2.3708239797710666,0.2913824380912305,2.079441541679836,-0.7041941378766406,5.0,0.8,0.9,0.1493235037305026,-0.16172336807658536,30.0,0.9,0.35709975675675665,2.2940263309511346,0.21458478927129884,2.0794415416798357,-0.4417657094814126,0.75,0.9,0.75,30.0
1539,1539,39,39,15,602,6,2,2,3,False,0,0,23,True,train,0.2725679049930559,0.34487046509745456,2.133372329872407,0.25297401646158624,1.880398313410821,-0.31823462448959705,5.0,0.8,0.9,0.10659553338202014,-0.1127158705042191,30.0,0.9,0.3997845757575757,2.210420110470982,0.26926792012562045,1.941152190345362,-0.5104666478015323,0.75,0.9,0.75,30.0
1540,1540,40,40,10,612,2,2,2,0,True,1,2,23,True,train,0.7682567632874381,0.345018716599344,2.18281407645315,0.39915998853919366,1.7836540879139564,-0.26363127451216395,5.0,0.8,0.9,0.17395421052063553,-1.7489631723271133,30.0,0.9,0.39919657575757567,2.210420110470982,0.26926792012562045,1.941152190345362,-0.9183013123432013,0.75,0.9,0.75,30.0
1541,1541,41,41,14,626,2,2,2,0,True,0,0,23,True,train,0.7516992246734892,0.3518666556463679,2.438500299143945,0.35905875746410904,2.079441541679836,-0.28541900223001715,5.0,0.8,0.9,0.17575313097812353,-1.7386749334962859,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.9168294375560695,0.75,0.9,0.75,30.0
1542,1542,42,42,23,649,1,1,2,2,True,0,0,23,True,test,0.4610390234300061,0.3583188972836261,2.307095982525432,0.41282324382469904,1.8942727387007332,-0.7742725900452675,5.0,0.8,0.9,0.1274084733255357,-2.0603570284361514,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555725,1.918780109349367,-0.8557959856638674,0.75,0.9,0.75,30.0
1543,1543,43,43,7,656,2,7,2,0,False,0,0,23,True,train,0.7644793270808071,0.35603182213383106,2.094776244161064,0.3732956063224061,1.7214806378386578,-1.4459565862820147,5.0,0.8,0.9,0.17738164769078343,-0.1952629133092045,30.0,0.9,0.37694540000000004,2.1900315301526967,0.2419975222736389,1.948034007879058,-0.47312112358544567,0.75,0.9,0.75,30.0
1544,1544,44,44,13,669,1,1,2,2,True,0,0,23,True,train,0.4704024595157802,0.3623259595790442,2.306294773719374,0.4175267607184827,1.8887680130008917,-0.7541666538489309,5.0,0.8,0.9,0.12868100216319384,-2.0504187886155747,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555725,1.918780109349367,-0.8557959856638674,0.75,0.9,0.75,30.0
