,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,learn_rho,plan_alpha
2579,79,79,13,1216,5,4,4,1,False,0,0,5,train,0.29420851966364164,0.6306456807287464,2.347477659537781,0.3256859367824534,2.0217917227553275,-0.3484354387455894,0.1,0.8831578947368421,0.07849535765097165,-0.08174746406722959,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2580,80,80,9,1225,4,4,4,0,True,1,4,5,train,0.9226238740860281,0.6288070310486196,1.0571184283976,0.24919368948918372,0.8079247389084163,-0.08053363123025845,0.1,0.8831578947368421,0.6272000861875854,-0.4664896725295176,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2581,81,81,11,1236,5,4,4,1,False,0,0,5,train,0.30348072833295203,0.63233207182091,2.336516249333136,0.3329813178869767,2.0035349314461595,-0.36165981684564186,0.1,0.8831578947368421,0.08367780241597056,-0.08738723206808734,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2582,82,82,12,1248,6,7,4,2,False,0,0,5,test,0.45820353829065374,0.6304697467625621,2.137521429374973,0.432884169724131,1.704637259650842,-0.6128648799738285,0.1,0.8831578947368421,0.11674754762683327,-0.12414421621329037,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2583,83,83,18,1266,5,4,4,1,False,0,0,5,train,0.31370176412919365,0.6275766537569546,2.3246040866737148,0.34068387446433834,1.9839202122093764,-0.37644299956363003,0.1,0.8831578947368421,0.08899254984441317,-0.09320420375826731,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2584,84,84,9,1275,2,5,4,3,False,0,0,5,test,0.16001022469219656,0.6257048700784852,2.5144471869940923,0.1883325572892764,2.326114629704816,-0.17436555947147522,0.1,0.8831578947368421,0.02334017185373042,-0.023616867561664614,0.15,0.5857524368932039,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.8812915053559032,0.9136842105263158,0.95,1.0
2585,85,85,16,1291,5,4,4,1,False,0,0,5,train,0.32439158629920817,0.6246453544397634,2.3118690551319556,0.34866169018900606,1.9632073649429493,-0.3921416404540552,0.1,0.8831578947368421,0.09458422795775177,-0.09936102416044722,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2586,86,86,9,1300,2,4,4,3,False,0,0,5,train,0.1680290974822332,0.6227567383354933,2.5058252085839205,0.19670029288586638,2.309124915698054,-0.1839578117078722,0.1,0.8831578947368421,0.026384742544044673,-0.026739066256636544,0.15,0.5857524368932039,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.8812915053559032,0.9136842105263158,0.95,1.0
2587,87,87,20,1320,6,7,4,2,False,0,0,5,train,0.46615528376184023,0.6216764773876293,2.1259610107141,0.4369271395668418,1.6890338711472581,-0.6276502758720869,0.1,0.8831578947368421,0.12127828341337994,-0.12928702233641365,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2588,88,88,12,1332,2,0,4,3,False,0,0,5,train,0.1759036213373635,0.6189350292622009,2.4973010601006833,0.20482969645920285,2.2924713636414804,-0.1934677915160635,0.1,0.8831578947368421,0.029591864975409703,-0.030038538221122013,0.15,0.5857524368932039,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.8812915053559032,0.9136842105263158,0.95,1.0
