,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
224,24,24,20,359,4,0,2,3,False,0,0,11,True
225,25,25,14,373,2,6,2,0,False,0,0,11,True
226,26,26,22,395,0,0,2,2,True,0,0,11,True
227,27,27,17,412,2,2,2,0,True,0,0,11,True
228,28,28,15,427,2,3,2,0,False,0,0,11,True
229,29,29,9,436,2,2,2,0,True,0,0,11,True
230,30,30,17,453,2,2,2,0,True,0,0,11,True
231,31,31,20,473,5,4,2,3,False,0,0,11,True
232,32,32,7,480,1,7,2,2,False,0,0,11,False
233,33,33,10,490,4,4,2,3,True,0,0,11,True
234,34,34,16,506,2,7,2,0,False,0,0,11,True
235,35,35,7,513,2,5,2,0,False,0,0,11,True
236,36,36,13,526,2,4,2,0,False,0,0,11,True
237,37,37,20,546,5,2,2,3,False,0,0,11,True
238,38,38,12,558,2,2,2,0,True,0,0,11,True
239,39,39,16,574,2,2,2,0,True,0,0,11,True
240,40,40,25,599,1,1,2,2,True,0,0,11,True
241,41,41,12,611,2,0,2,0,False,1,2,11,True
242,42,42,11,622,2,3,2,0,False,0,0,11,True
243,43,43,22,644,2,2,2,0,True,0,0,11,True
244,44,44,20,664,2,2,2,0,True,0,0,11,True
245,45,45,16,680,2,5,2,0,False,0,0,11,True
246,46,46,18,698,6,7,2,3,False,0,0,11,True
247,47,47,17,715,4,4,2,3,True,0,0,11,True
248,48,48,15,730,2,3,2,0,False,0,0,11,True
249,49,49,18,748,3,3,2,1,True,0,0,11,True
250,50,50,12,760,1,2,2,2,False,0,0,11,True
251,51,51,16,776,2,2,2,0,True,0,0,11,True
252,52,52,15,791,6,6,2,3,True,0,0,11,True
253,53,53,14,805,2,0,2,0,False,0,0,11,True
254,54,54,15,820,3,5,2,1,False,0,0,11,True
255,55,55,18,838,3,3,2,1,True,0,0,11,True
256,56,56,21,859,2,2,2,0,True,0,0,11,True
257,57,57,23,882,6,7,2,3,False,0,0,11,True
258,58,58,23,905,4,4,2,3,True,0,0,11,True
259,59,59,16,921,5,5,2,3,True,0,0,11,True
260,60,60,9,930,2,0,2,0,False,1,3,11,True
261,61,61,16,946,2,6,2,0,False,0,0,11,True
262,62,62,15,961,4,4,2,3,True,0,0,11,False
263,63,63,9,970,3,5,2,1,False,0,0,11,True
264,64,64,13,983,2,2,2,0,True,0,0,11,True
265,65,65,15,998,2,2,2,0,True,0,0,11,True
266,66,66,19,1017,3,3,2,1,True,0,0,11,False
267,67,67,11,1028,2,2,2,0,True,0,0,11,True
268,68,68,19,1047,2,2,2,0,True,0,0,11,True
269,69,69,17,1064,3,3,2,1,True,0,0,11,True
270,70,70,13,1077,2,2,2,0,True,0,0,11,True
271,71,71,16,1093,1,2,2,2,False,0,0,11,False
272,72,72,14,1107,1,1,2,2,True,0,0,11,True
273,73,73,14,1121,2,2,2,0,True,0,0,11,True
274,74,74,25,1146,2,2,2,0,True,0,0,11,True
275,75,75,11,1157,6,5,2,3,False,0,0,11,True
276,76,76,14,1171,1,1,2,2,True,0,0,11,True
277,77,77,17,1188,3,2,2,1,False,0,0,11,True
278,78,78,9,1197,4,3,2,3,False,0,0,11,True
279,79,79,12,1209,2,2,2,0,True,0,0,11,True
280,80,80,7,1216,2,5,2,0,False,1,4,11,True
281,81,81,19,1235,2,2,2,0,True,0,0,11,True
282,82,82,17,1252,1,1,2,2,True,0,0,11,True
283,83,83,23,1275,1,1,2,2,True,0,0,11,True
284,84,84,9,1284,2,2,2,0,True,0,0,11,True
285,85,85,15,1299,2,2,2,0,True,0,0,11,True
286,86,86,21,1320,3,3,2,1,True,0,0,11,True
287,87,87,17,1337,4,4,2,3,True,0,0,11,True
288,88,88,22,1359,2,2,2,0,True,0,0,11,True
289,89,89,18,1377,1,1,2,2,True,0,0,11,True
290,90,90,23,1400,2,2,2,0,True,0,0,11,True
291,91,91,24,1424,1,1,2,2,True,0,0,11,True
292,92,92,11,1435,2,2,2,0,True,0,0,11,True
293,93,93,18,1453,2,2,2,0,True,0,0,11,True
294,94,94,17,1470,3,3,2,1,True,0,0,11,True
295,95,95,20,1490,2,2,2,0,True,0,0,11,True
296,96,96,16,1506,3,3,2,1,True,0,0,11,True
297,97,97,23,1529,2,2,2,0,True,0,0,11,True
298,98,98,26,1555,1,1,2,2,True,0,0,11,True
299,99,99,17,1572,2,2,2,0,True,0,0,11,True
300,0,0,18,18,4,7,5,1,False,0,0,12,True
301,1,1,17,35,4,7,5,1,False,0,0,12,True
302,2,2,15,50,5,7,5,0,False,0,0,12,True
303,3,3,22,72,5,5,5,0,True,0,0,12,True
304,4,4,8,80,7,7,5,2,True,0,0,12,True
305,5,5,11,91,0,0,5,3,True,0,0,12,True
306,6,6,21,112,5,5,5,0,True,0,0,12,True
307,7,7,22,134,5,5,5,0,True,0,0,12,True
308,8,8,20,154,7,7,5,2,True,0,0,12,True
309,9,9,10,164,7,7,5,2,True,0,0,12,True
310,10,10,15,179,5,5,5,0,True,0,0,12,True
311,11,11,22,201,5,5,5,0,True,0,0,12,True
312,12,12,13,214,6,7,5,2,False,0,0,12,True
313,13,13,21,235,5,5,5,0,True,0,0,12,True
314,14,14,13,248,0,0,5,3,True,0,0,12,True
315,15,15,18,266,5,7,5,0,False,0,0,12,True
316,16,16,21,287,5,5,5,0,True,0,0,12,True
317,17,17,21,308,5,5,5,0,True,0,0,12,True
318,18,18,19,327,5,5,5,0,True,0,0,12,True
319,19,19,11,338,5,5,5,0,True,0,0,12,True
320,20,20,11,349,1,0,5,3,False,0,0,12,True
321,21,21,16,365,5,7,5,0,False,1,1,12,True
322,22,22,19,384,5,5,5,0,True,0,0,12,True
323,23,23,19,403,5,5,5,0,True,0,0,12,True
324,24,24,19,422,6,7,5,2,False,0,0,12,True
325,25,25,10,432,5,5,5,0,True,0,0,12,True
326,26,26,23,455,7,7,5,2,True,0,0,12,True
327,27,27,15,470,5,5,5,0,True,0,0,12,True
328,28,28,22,492,5,5,5,0,True,0,0,12,True
