,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_ll,plan_rho,learn_rho,plan_alpha
1607,7,7,14,125,7,7,2,3,True,0,0,24,train,0.5740599728486734,0.134943562480385,-0.5550214058057055,35.84,0.9136842105263158,0.07823452084200233,-2.5480442858458066,2.87,0.633427073800738,-0.45661040218397814,0.9289473684210526,0.95,1.0
1608,8,8,8,133,1,0,2,2,False,0,0,24,test,0.5893422047207008,0.1340568088347391,-0.8899950261944207,35.84,0.9136842105263158,0.13396117936740526,-0.1438255439041079,2.87,0.6334270738007383,-1.0035577973695002,0.9289473684210526,0.95,1.0
1609,9,9,13,146,0,0,2,2,True,0,0,24,train,0.5910062377337089,0.1339670571384352,-0.5259287070907751,35.84,0.9136842105263158,0.13463542164349443,-2.0051847341081244,2.87,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
1610,10,10,11,157,7,7,2,3,True,0,0,24,train,0.5762145030340017,0.13388407266174093,-0.551275286509628,35.84,0.9136842105263158,0.09033923268312458,-2.404183442447666,2.87,0.633427073800738,-0.45661040218397814,0.9289473684210526,0.95,1.0
1611,11,11,20,177,2,2,2,0,True,0,0,24,train,0.6028485591732683,0.13303307270239842,-0.5060892594469395,35.84,0.9136842105263158,0.21663453765713855,-1.5295435034925609,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1612,12,12,22,199,1,1,2,2,True,0,0,24,train,0.594577676350572,0.13566774417705782,-0.5199039131011162,35.84,0.9136842105263158,0.15032011767251058,-1.8949881410638316,2.87,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
1613,13,13,15,214,2,2,2,0,True,0,0,24,train,0.6079698345149687,0.1355462468552417,-0.4976300125313904,35.84,0.9136842105263158,0.23520901303837066,-1.4472807429505141,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1614,14,14,17,231,3,3,2,1,True,0,0,24,test,0.589883182564683,0.13817183264817962,-0.5278307573391786,35.84,0.9136842105263158,0.10880710266653426,-2.2181786648295345,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1615,15,15,19,250,2,6,2,0,False,0,0,24,test,0.6145820252262307,0.13888188733832313,-0.9534268848217539,35.84,0.9136842105263158,0.2569561256841392,-0.29700018578454257,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1616,16,16,20,270,2,1,2,0,False,0,0,24,train,0.6196758873662392,0.14150324109243273,-0.9667314618144983,35.84,0.9136842105263158,0.278293619960105,-0.3261368986493792,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1617,17,17,9,279,2,4,2,0,False,0,0,24,train,0.6246836212390027,0.14413438343439425,-0.9799859320108699,35.84,0.9136842105263158,0.29874905385093636,-0.35488947291396483,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1618,18,18,15,294,4,4,2,3,True,0,0,24,test,0.5600555817798297,0.14677453719651834,-0.5797192469999456,35.84,0.9136842105263158,0.05920318714287139,-2.826779901668502,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1619,19,19,14,308,2,2,2,0,True,0,0,24,train,0.6280836278622407,0.14593896282544364,-0.4650819559939277,35.84,0.9136842105263158,0.3117643570822865,-1.1655076422914317,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1620,20,20,18,326,4,2,2,3,False,0,0,24,train,0.5638266509296828,0.1485629241155197,-0.8297155250400889,35.84,0.9136842105263158,0.06854870801744942,-0.07101138018146205,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1621,21,21,20,346,3,2,2,1,False,0,0,24,train,0.5973287945555792,0.14773012833100396,-0.9096349174199544,35.84,0.9136842105263158,0.11651643846303748,-0.12388259346569891,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1622,22,22,17,363,2,4,2,0,False,1,1,24,train,0.6325199546524641,0.14834965732084832,-1.001086260177508,35.84,0.9136842105263158,0.31984436495270674,-0.38543363193033875,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1623,23,23,14,377,2,3,2,0,False,0,0,24,train,0.6371988008290906,0.1509419249822236,-1.0139002554243761,35.84,0.9136842105263158,0.33624231435988433,-0.40983812737420755,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1624,24,24,15,392,2,2,2,0,True,0,0,24,train,0.64179797520823,0.15354094876023944,-0.4434817051754425,35.84,0.9136842105263158,0.35196769685079055,-1.0442158779054467,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1625,25,25,20,412,2,2,2,0,True,0,0,24,train,0.6463183124395451,0.15614604985084493,-0.43646315284338916,35.84,0.9136842105263158,0.36704281846320524,-1.002276766171297,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1626,26,26,9,421,4,5,2,3,False,0,0,24,train,0.5609560860982211,0.15875656380694175,-0.8231558392428769,35.84,0.9136842105263158,0.07018662985981468,-0.07277139024183073,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1627,27,27,19,440,2,2,2,0,True,0,0,24,train,0.6493765656354923,0.15792526119671152,-0.43174250614330556,35.84,0.9136842105263158,0.37510327104922486,-0.9805539014598449,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1628,28,28,20,460,2,2,2,0,True,0,0,24,train,0.6537318297313696,0.16051858177235281,-0.42505805789921325,35.84,0.9136842105263158,0.38870312681507646,-0.9449393968674635,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1629,29,29,8,468,2,7,2,0,False,0,0,24,test,0.6580119002735167,0.16311616410326482,-1.0729793386463249,35.84,0.9136842105263158,0.40176030628298903,-0.5137637797269018,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1630,30,30,17,485,0,2,2,2,False,0,0,24,train,0.5864123591910844,0.1657173979386736,-0.8828858382244424,35.84,0.9136842105263158,0.10117516220575466,-0.10666710465776424,2.87,0.6334270738007383,-1.0035577973695002,0.9289473684210526,0.95,1.0
1631,31,31,11,496,5,5,2,3,True,0,0,24,train,0.5527829376938549,0.16547677961099164,-0.5927898722476831,35.84,0.9136842105263158,0.06101708640778151,-2.7966013489853214,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1632,32,32,10,506,2,2,2,0,True,0,0,24,train,0.6605231868960532,0.1646637553765007,-0.41472305056998576,35.84,0.9136842105263158,0.40284427813883555,-0.9092051983131084,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
